=== Prompt 1 ===

assistant
{"ANSWER":["establishing context", "establishing context", "establishing context", "establishing context", "establishing context", "establishing context", "establishing context", "establishing context", "setup", "misdirection", "establishing context", "escalation", "escalation", "escalation", "escalation", "escalation", "escalation", "escalation", "subversion", "punchline", "wrap-up", "callback", "callback", "callback", "callback", "callback", "callback", "callback", "callback", "callback", "meta-humor", "wrap-up"]}

=== Prompt 2 ===

assistant
{"ANSWER":["establishing context","setup","escalation","subversion","callback","misdirection","timing","meta-humor","punchline","non-line","wrap-up","repetition"]}

=== Prompt 3 ===
 ### NOTE: Label each line individually, and if the line is empty or does not contain a joke-related element, assign the label "non-line". Also, if a line serves multiple roles, choose the most dominant one. 

Establishing context: Sets up the premise or context of the joke without necessarily starting the joke's main narrative or punchline.
Setup: Introduces the main elements or scenario that the punchline will subvert or resolve.
Escalation: Builds upon the setup, often adding layers or increasing the stakes in a way that leads the audience toward an expectation.
Subversion: Presents an unexpected twist, challenging the audience's expectations set up by the setup and escalation.
Callback: Returns to a previous element in the joke, often to reinforce or contrast with the current part of the narrative.
Misdirection: Leads the audience toward a false expectation or understanding, only to shift it later for comedic effect.
Timing: Refers to the comedic timing in the delivery (e.g., pauses, tempo changes), but since this is text, it can refer to lines that obviously depend heavily on delivery for their effect.
Meta-humor: Jokes about jokes, referencing the structure or process of humor itself.
Punchline: The climax or concluding part of a joke that delivers the humor, typically subverting the audience's expectations.
Redirection: Steering the audience's attention from one idea to another, often used to enhance the effect of a punchline.
Wrap-up: Concludes the joke, tying up any loose ends or providing a closing thought.
Repetition: Repeats a phrase, idea, or structure for comedic emphasis.
Non-line: The line is not part of the joke's structure (e.g., contains stage directions, is empty, or is a narrative transition unrelated to the joke).

assistant
{"ANSWER": ["establishing context", "establishing context", "establishing context", "establishing context", "establishing context", "establishing context", "establishing context", "establishing context", "establishing context", "establishing context", "establishing context", "establishing context", "establishing context", "establishing context", "establishing context", "establishing context", "establishing context", "establishing context", "establishing context", "setup", "setup", "setup", "setup", "setup", "setup", "setup", "setup", "setup", "setup", "escalation", "escalation", "escalation", "escalation", "escalation", "escalation", "escalation", "escalation", "escalation", "escalation", "escalation", "escalation", "subversion", "callback", "callback", "callback", "callback", "callback", "callback", "callback", "callback", "callback", "callback", "callback", "misdirection", "misdirection", "misdirection", "misdirection", "misdirection", "misdirection", "misdirection", "misdirection", "misdirection", "misdirection", "misdirection", "misdirection", "misdirection", "misdirection", "misdirection", "misdirection", "misdirection", "misdirection", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap-up", "wrap

=== Prompt 4 ===
 Make sure to assign a label to every line of the joke.  Note that some labels may not be used at all, while some labels may be used more than once.  If a line is not part of the joke, assign the label 'non-line'.  If the same label is appropriate for multiple consecutive lines, only assign that label to the first line, and assign 'repetition' to the rest of those lines. 
Q: I didn’t do anything today.
I’m a loser, man.
You know what I was doing?
I was sitting around, watching that show MTV Cribs.
You guys know that show?
The one where they show all the rock stars’ and rappers’ houses and all their stuff?
Doesn’t that show make you feel like a loser?
It kills my self-esteem.
I’m sitting there watching Britney Spears.
She’s like 20 years old.
She’s like, “Oh my god, this is my helicopter.
I had it spray-painted pink to match my top today.
So cool.
I put some glitter on the chuff-chuff-chuff part.
We’re gonna fly up to the house.”
I’m 34, sitting on a futon, eating macaroni and cheese like, “Oh my god.
I’m a loser!
I’ll never own a helicopter!”
You know what I love about that show though?
All they’re doing is showing you what not to do when you get rich.
Seriously, ’cause none of those people are saving their money.
Half of them only have one hit album, so should they really be buying all of that stuff?
A 20-room house and 17 cars.
It’s just like, “Dude, don’t you watch Behind the Music?
Haven’t you learned anything from that program?
You’re gonna be smoking crack in six weeks.
Save your money.”
No,they’re dumb.
I’ll tell you right now, if you want to know how to be rich, don’t look at a rapper, don’t look at a rock star, look at a guy like Bill Gates.
That dude is so good at being rich it’s irritating.
He makes like $30 million a day, and look at him.
He dresses like he works in a shoe store, but that’s why he’s always gonna be rich.
He’s not showing off, trying to buy all this flashy stuff, like walking around with an iced-out laptop medallion hanging off his neck, wearing a fuzzy pimp hat to the side, sitting in a hot tub with some bitches, having a midget in his crew just for the hell of it.
Have you noticed that’s the new status symbol of rich people?
Midgets.
I’m serious.
No entourage is complete now unless you have a midget.
And you know what?
That’s good for midgets.
Seriously, ’cause historically, those people have not gotten good jobs.
Even when they book a movie, they never get to be the lead, never get to be the hero.
They always have to play a troll or a fairy running out from under a bridge, biting on somebody’s leg.
A:
assistant
{"ANSWER":["establishing context","establishing context","setup","establishing context","establishing context","escalation","escalation","establishing context","setup","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escalation","escal

=== Prompt 5 ===

assistant
{"ANSWER": [
"establishing context", 
"establishing context", 
"establishing context", 
"establishing context", 
"setup", 
"setup", 
"setup", 
"setup", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"misdirection", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"subversion", 
"callback", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
"escalation", 
